Student ID,First Name,Last Name,Year of Enrollment,Year of Graduation,Dropout Year,Major,SAT Scores,Household Income,Pell Grant Status,White
1,Mike,Miller,2017,,2019,STEM,1221,75002,0,1
2,Tom,Jones,2001,,,STEM,1129,70073,0,1
3,Alice,Johnson,2021,2025,,Non-STEM,1096,87399,0,1
4,Jane,Jones,2003,2007,,Non-STEM,1062,95531,0,1
5,Tom,Brown,2015,,2016,STEM,1231,56267,1,0
6,Alice,Johnson,2003,,2005,STEM,826,58899,1,1
7,Alice,Miller,2014,,2016,STEM,1264,58849,1,0
8,John,Smith,2002,,2004,STEM,900,111034,0,1
9,Jane,Miller,2009,,,Non-STEM,672,31537,1,1
10,Alice,Miller,2021,,,STEM,1079,91456,0,1
11,Jane,Smith,2001,2005,,Non-STEM,1123,59164,1,0
12,Tom,Miller,2003,,2004,STEM,1064,87630,0,0
13,Jane,Williams,2012,,2013,STEM,728,75486,0,1
14,Tom,Miller,2004,,,Non-STEM,933,101037,0,1
15,John,Brown,2020,2024,,STEM,889,74006,0,1
16,Sara,Brown,2018,2022,,STEM,1021,84768,0,1
17,Mike,Williams,2013,,2016,STEM,1000,53409,1,0
18,Jane,Williams,2015,,,Non-STEM,924,55177,1,1
19,Tom,Johnson,2004,,,STEM,1130,87901,0,0
20,Jane,Johnson,2018,,,STEM,763,69844,0,0
21,Jane,Smith,2021,,2023,STEM,1240,79035,0,0
22,Jane,Smith,2005,,2008,Non-STEM,1248,95852,0,1
23,Mike,Williams,2009,,2012,Non-STEM,1299,17075,1,0
24,Sara,Johnson,2011,,2013,STEM,1184,137847,0,0
25,Mike,Williams,2010,,2013,Non-STEM,825,44231,1,0
26,Mike,Johnson,2014,,2017,Non-STEM,998,34999,1,0
27,Sara,Williams,2014,,2015,STEM,1282,87310,0,1
28,John,Miller,2006,2010,,STEM,890,74975,0,1
29,Alice,Miller,2005,2009,,STEM,1007,109373,0,0
30,Alice,Miller,2016,2020,,STEM,1265,69253,0,1
31,Alice,Miller,2018,,,STEM,1159,117776,0,1
32,Tom,Miller,2005,,,STEM,1120,53346,1,0
33,Jane,Brown,2023,2027,,Non-STEM,963,48118,1,0
34,Tom,Miller,2018,,,Non-STEM,785,167077,0,0
35,John,Johnson,2008,,2011,STEM,1113,52855,1,1
36,Tom,Johnson,2002,,,STEM,1074,128502,0,1
37,Sara,Smith,2016,2020,,STEM,1093,58771,1,1
38,Alice,Smith,2023,,2025,Non-STEM,1366,77549,0,1
39,Tom,Johnson,2022,,2024,STEM,846,31962,1,1
40,Sara,Johnson,2002,,,Non-STEM,859,129580,0,1
41,Tom,Jones,2023,,,Non-STEM,953,110130,0,0
42,Tom,Smith,2003,,2004,Non-STEM,1342,63031,0,0
43,Sara,Smith,2010,2014,,Non-STEM,1227,43894,1,1
44,Mike,Jones,2005,2009,,Non-STEM,749,58886,1,0
45,Jane,Williams,2000,2004,,STEM,1082,39544,1,1
46,John,Johnson,2022,2026,,STEM,1243,89686,0,1
47,John,Miller,2010,2014,,STEM,862,81456,0,1
48,John,Jones,2010,2014,,STEM,1049,80218,0,1
49,Sara,Smith,2005,,2006,Non-STEM,1012,94020,0,1
50,Jane,Brown,2005,,2006,STEM,1062,99453,0,0
51,Jane,Smith,2012,2016,,STEM,1234,51201,1,0
52,Mike,Jones,2007,2011,,STEM,999,89311,0,1
53,John,Jones,2020,2024,,Non-STEM,906,62410,0,1
54,Mike,Jones,2008,,,Non-STEM,1109,114566,0,0
55,Alice,Williams,2021,2025,,STEM,1600,91444,0,1
56,Jane,Johnson,2010,,2011,Non-STEM,1106,84124,0,0
57,Alice,Williams,2017,,2020,Non-STEM,884,58600,1,1
58,John,Johnson,2004,,,Non-STEM,634,122473,0,0
59,Jane,Brown,2009,,2010,STEM,1064,124366,0,1
60,Mike,Williams,2019,,,Non-STEM,925,51330,1,0
61,Mike,Smith,2001,2005,,STEM,776,98966,0,1
62,Jane,Jones,2008,,2011,STEM,1143,91954,0,1
63,Sara,Williams,2005,,2007,STEM,842,71923,0,1
64,Alice,Williams,2000,2004,,STEM,984,74812,0,0
65,John,Jones,2016,2020,,Non-STEM,1013,96692,0,1
66,Alice,Williams,2006,,2007,STEM,889,61890,0,1
67,John,Williams,2001,2005,,STEM,1015,91623,0,0
68,Sara,Miller,2010,,2012,Non-STEM,1250,94434,0,0
69,Mike,Brown,2003,,2004,Non-STEM,1032,114696,0,0
70,John,Miller,2002,2006,,Non-STEM,858,61718,0,1
71,Jane,Williams,2004,,,STEM,1428,113062,0,1
72,John,Smith,2013,2017,,STEM,999,126188,0,0
73,Tom,Miller,2017,2021,,Non-STEM,1138,93935,0,1
74,Alice,Johnson,2019,,2021,STEM,927,69742,0,1
75,Tom,Jones,2019,,2021,Non-STEM,1000,80325,0,1
76,Sara,Jones,2010,2014,,Non-STEM,1468,68878,0,1
77,John,Williams,2008,,,Non-STEM,1234,23406,1,1
78,Jane,Johnson,2018,,,STEM,1164,65400,0,1
79,Tom,Brown,2021,,2024,STEM,846,112069,0,0
80,Sara,Miller,2010,,2012,Non-STEM,776,27103,1,1
81,Alice,Jones,2004,2008,,Non-STEM,1130,112638,0,1
82,Alice,Smith,2006,2010,,Non-STEM,1326,49714,1,0
83,John,Jones,2007,2011,,STEM,1261,120479,0,0
84,Sara,Miller,2000,,2003,STEM,1074,95733,0,1
85,Sara,Jones,2019,,2021,STEM,1596,79997,0,1
86,Tom,Jones,2022,2026,,STEM,1015,108292,0,1
87,Alice,Johnson,2019,2023,,STEM,1192,81121,0,1
88,Mike,Johnson,2013,,2014,Non-STEM,1084,84012,0,0
89,Mike,Johnson,2001,,,STEM,1141,77889,0,1
90,Sara,Williams,2016,2020,,STEM,1312,58109,1,1
91,John,Miller,2014,2018,,Non-STEM,1600,70703,0,0
92,John,Williams,2006,,,Non-STEM,1036,33456,1,1
93,Alice,Brown,2003,,,STEM,1220,78092,0,0
94,Mike,Johnson,2002,2006,,STEM,1109,72566,0,0
95,Alice,Brown,2013,,,STEM,844,36043,1,0
96,Mike,Jones,2022,,,Non-STEM,1135,49715,1,0
97,Alice,Jones,2021,,,Non-STEM,937,105234,0,1
98,Tom,Smith,2023,,2026,Non-STEM,1225,85126,0,0
99,Sara,Williams,2013,2017,,Non-STEM,967,108484,0,1
100,John,Jones,2013,2017,,Non-STEM,1374,83893,0,0
101,Jane,Jones,2017,,2019,STEM,928,110208,0,0
102,Alice,Smith,2009,2013,,STEM,953,93030,0,0
103,Jane,Johnson,2023,,2025,STEM,1259,89538,0,0
104,Alice,Miller,2009,2013,,Non-STEM,1365,18109,1,0
105,Sara,Smith,2015,,,STEM,1421,88193,0,0
106,Jane,Smith,2008,2012,,Non-STEM,1309,58815,1,1
107,Tom,Johnson,2014,2018,,Non-STEM,816,94190,0,0
108,Mike,Williams,2021,2025,,Non-STEM,1066,77417,0,1
109,Mike,Brown,2005,,2007,STEM,1236,80724,0,1
110,Alice,Williams,2004,,2007,Non-STEM,672,81573,0,0
111,Alice,Johnson,2015,,,STEM,1146,88958,0,0
112,Tom,Jones,2004,,,STEM,1061,43550,1,1
113,John,Johnson,2019,2023,,STEM,1079,32059,1,1
114,Sara,Smith,2004,2008,,STEM,1271,19926,1,1
115,Tom,Brown,2017,,2018,Non-STEM,1049,45894,1,1
116,Mike,Jones,2000,,2002,Non-STEM,1498,129162,0,1
117,Mike,Brown,2018,,2019,Non-STEM,1299,52761,1,0
118,John,Williams,2021,2025,,Non-STEM,1004,90390,0,1
119,John,Brown,2015,2019,,Non-STEM,989,53288,1,1
120,Tom,Jones,2007,,2010,Non-STEM,1187,68724,0,1
121,John,Williams,2004,,2005,Non-STEM,1059,84494,0,1
122,Tom,Williams,2007,,,Non-STEM,876,25564,1,1
123,Tom,Jones,2014,2018,,Non-STEM,751,126305,0,0
124,John,Jones,2014,2018,,STEM,1089,0,1,1
125,Sara,Johnson,2018,2022,,STEM,1322,30023,1,1
126,Jane,Brown,2005,2009,,STEM,1049,132547,0,1
127,Jane,Brown,2006,,2009,STEM,1180,64213,0,1
128,Sara,Miller,2012,,2013,STEM,1218,74442,0,0
129,Mike,Williams,2012,,,STEM,920,88193,0,0
130,Sara,Johnson,2011,2015,,Non-STEM,1434,0,1,0
131,Sara,Jones,2022,2026,,Non-STEM,1154,119119,0,1
132,Alice,Miller,2022,2026,,STEM,1354,124735,0,1
133,Alice,Miller,2012,2016,,Non-STEM,1054,93951,0,0
134,John,Brown,2022,,,STEM,1137,44806,1,0
135,Jane,Smith,2003,,2005,Non-STEM,820,74640,0,0
136,John,Johnson,2018,2022,,STEM,1123,91405,0,1
137,Tom,Johnson,2012,,2013,STEM,1063,50641,1,1
138,John,Johnson,2009,2013,,Non-STEM,749,134188,0,1
139,Alice,Jones,2002,,,Non-STEM,1112,42647,1,0
140,Jane,Jones,2003,,2005,STEM,873,69344,0,1
141,Tom,Brown,2020,,2023,Non-STEM,1158,40434,1,1
142,Tom,Smith,2016,,,Non-STEM,931,47256,1,1
143,Alice,Smith,2020,2024,,STEM,1368,74351,0,0
144,Tom,Miller,2020,2024,,Non-STEM,1145,50180,1,1
145,Alice,Johnson,2006,,2007,STEM,807,66773,0,1
146,Alice,Miller,2021,2025,,Non-STEM,1124,18838,1,1
147,Alice,Williams,2019,,2021,STEM,1245,68250,0,1
148,Alice,Brown,2016,2020,,STEM,956,102040,0,1
149,John,Smith,2004,,2006,STEM,1108,67853,0,0
150,Mike,Johnson,2005,,,STEM,914,92398,0,0
151,Sara,Johnson,2014,2018,,Non-STEM,1092,97232,0,0
152,Jane,Johnson,2005,,2006,STEM,1003,101474,0,1
153,Alice,Miller,2019,,,Non-STEM,1197,44811,1,1
154,Tom,Johnson,2012,2016,,STEM,720,67612,0,0
